$c_start 新闻$c_end
🎤新闻©频道,#genre#
4K UHD,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228242/index.m3u8
4K UHD,http://ott.js.chinamobile.com/TVOD/3/224/3221228242/index.m3u8
CCTV4K HDR,https://p.ggiptv.com/v/4k.m3u8
CCTV4K HDR,http://ye23.win/iptv/4k.cctv.php
CCTV奥林匹克4K HDR,http://223.110.235.9/ott.js.chinamobile.com/TVOD/3/224/3221228168/index.m3u8
CCTV奥林匹克4K HDR,http://223.110.235.24/ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8
CCTV奥林匹克4K HDR,http://ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8
CCTV奥林匹克,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228168/index.m3u8
CCTV奥林匹克,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8

CCTV奥林匹克,http://111.11.121.184:6610/030000001001/HD-4000k-1080P-cctv16/1.m3u8?channel-id=ystenlive
CCTV奥林匹克,http://39.135.138.60:18890/TVOD/88888910/224/3221226233/index.m3u8
CCTV奥林匹克,http://39.135.138.60:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV奥林匹克,http://111.11.121.184:6610/030000001001/HD-4000k-1080P-cctv16/1.m3u8?channel-id=ystenlive
CCTV13,http://111.11.121.184:6610/030000001001/cctv-13/1.m3u8?channel-id=ystenlive
CCTV13,http://223.110.251.219:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/.m3u8
CCTV13,http://39.135.138.60:18890/TVOD/88888910/224/3221225638/index.m3u8

北京新聞,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?
北京新聞,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=.
凤凰資訊,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰資訊,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
HKC新聞台,P2p://ns2.hellotvvod.com:9906/a8429ecad2e446e18c362b031e3d32bf
HKC新聞台,https://api.leonardpark.dev/live/icable/109
無綫新聞台,P2p://ns2.hellotvvod.com:9906/977fac4b93af4ee0a190f38217d79e51
BBC World News,P2p://ns2.hellotvvod.com:9906/a1e038f1cfd74f758f916dc7e17572b5
BBC News,p5p://fccs.123178.top:9906/616541100002c5f412e42871dce9c076

+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
$c_start 央视$c_end
🇨🇳CCTV央视,#genre#
CCTV1HD,http://111.11.121.184:6610/030000001001/HD-4000k-1080P-cctv1/1.m3u8?channel-id=ystenlive
CCTV1HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv1/1.m3u8?channel-id=ystenlive
CCTV1HD,http://111.11.121.184:6610/030000001001/hdcctv01/1.m3u8?channel-id=ystenlive
CCTV2,http://111.11.121.184:6610/030000001001/cctv-2/1.m3u8?channel-id=ystenlive
CCTV3HD,http://111.11.121.184:6610/030000001001/cctv-3/1.m3u8?channel-id=ystenlive
CCTV3HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv3/1.m3u8?channel-id=ystenlive
CCTV4,http://111.11.121.184:6610/030000001001/cctv-4/1.m3u8?channel-id=ystenlive
CCTV5,http://111.11.121.184:6610/030000001001/cctv-5/1.m3u8?channel-id=ystenlive
CCTV5,http://111.11.121.184:6610/030000001001/HD-4000k-1080P-cctv5/1.m3u8?channel-id=ystenlive
CCTV5,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv5/1.m3u8?channel-id=ystenlive
CCTV5+HD,http://111.11.121.184:6610/030000001001/hdcctv05plus/1.m3u8?channel-id=ystenlive
CCTV5+HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv05plus/1.m3u8?channel-id=ystenlive
CCTV6HD,http://111.11.121.184:6610/030000001001/cctv-6/1.m3u8?channel-id=ystenlive
CCTV6HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv6/1.m3u8?channel-id=ystenlive
